state_ciaf_rank,n_total,n_ciaf,prevalence
15. Assam,153,47,0.30718954248366
6. Gujarat,492,170,0.345528455284553
31. Jammu and Kashmir,2928,1028,0.351092896174863
22. Arunachal Pradesh,4808,1700,0.353577371048253
29. Tripura,2453,945,0.385242560130452
3. Bihar,3269,1266,0.387274395839706
32. Chandigarh,5903,2292,0.388277147213281
12. Haryana,4839,1880,0.388510022731969
5. Uttar Pradesh,5701,2230,0.391159445711279
14. Uttarakhand,692,276,0.398843930635838
1. Jharkhand,2191,890,0.406207211319032
8. Chattisgarh,2405,993,0.412889812889813
16. West Bengal,391,162,0.414322250639386
23. Sikkim,334,142,0.425149700598802
25. Andaman and Nicobar,4992,2160,0.432692307692308
NA,451,204,0.452328159645233
27. Punjab,2418,1104,0.456575682382134
17. Andhra Pradesh,2323,1078,0.46405510116229
20. Tamil Nadu,230,110,0.478260869565217
2. Dadra and Nagar,12659,6112,0.482818548068568
35. Manipur,7574,3764,0.496963295484552
28. Himachal Pradesh,2756,1370,0.497097242380261
7. Karnataka,1806,920,0.509413067552602
4. Madhya Pradesh,4994,2615,0.52362835402483
19. Delhi,691,363,0.525325615050651
36. Mizoram,13575,7148,0.526556169429098
11. Meghalaya,7205,3820,0.530187369882026
24. Telangana,5898,3173,0.537978975924042
9. Rajasthan,6864,3706,0.539918414918415
30. Lakshwadeep,9204,5068,0.550630160799652
21. Daman and Diu,29619,16487,0.556635943144603
33. Kerala,5998,3418,0.569856618872958
18. Puducherry,7992,4605,0.576201201201201
10. Maharashtra,8571,5057,0.590012833975032
34. Nagaland,8409,5154,0.612914734213343
26. Goa,17693,11114,0.628158028598881
