"Observed.cutyhat","Observed.Var2","Observed.Freq","Expected.cutyhat","Expected.Var2","Expected.Freq","Observed_Positive","Expected_Positive"
"[0.114,0.314]","y0",4912,"[0.114,0.314]","yhat0",4856.89236304504,1638,1693.10763695496
"(0.314,0.378]","y0",4210,"(0.314,0.378]","yhat0",4271.53954182571,2340,2278.46045817429
"(0.378,0.43]","y0",3953,"(0.378,0.43]","yhat0",3900.29531109117,2597,2649.70468890883
"(0.43,0.475]","y0",3542,"(0.43,0.475]","yhat0",3586.29621023975,3007,2962.70378976025
"(0.475,0.517]","y0",3304,"(0.475,0.517]","yhat0",3300.67284231018,3246,3249.32715768982
"(0.517,0.56]","y0",3044,"(0.517,0.56]","yhat0",3021.90913413197,3506,3528.09086586803
"(0.56,0.603]","y0",2737,"(0.56,0.603]","yhat0",2742.19047817092,3812,3806.80952182908
"(0.603,0.652]","y0",2417,"(0.603,0.652]","yhat0",2441.22432752381,4133,4108.77567247619
"(0.652,0.713]","y0",2021,"(0.652,0.713]","yhat0",2091.06196318624,4529,4458.93803681376
"(0.713,0.917]","y0",1494,"(0.713,0.917]","yhat0",1550.33721126287,5056,4999.66278873713
"[0.114,0.314]","y1",1638,"[0.114,0.314]","yhat1",1693.10763695496,1638,1693.10763695496
"(0.314,0.378]","y1",2340,"(0.314,0.378]","yhat1",2278.46045817429,2340,2278.46045817429
"(0.378,0.43]","y1",2597,"(0.378,0.43]","yhat1",2649.70468890883,2597,2649.70468890883
"(0.43,0.475]","y1",3007,"(0.43,0.475]","yhat1",2962.70378976025,3007,2962.70378976025
"(0.475,0.517]","y1",3246,"(0.475,0.517]","yhat1",3249.32715768982,3246,3249.32715768982
"(0.517,0.56]","y1",3506,"(0.517,0.56]","yhat1",3528.09086586803,3506,3528.09086586803
"(0.56,0.603]","y1",3812,"(0.56,0.603]","yhat1",3806.80952182908,3812,3806.80952182908
"(0.603,0.652]","y1",4133,"(0.603,0.652]","yhat1",4108.77567247619,4133,4108.77567247619
"(0.652,0.713]","y1",4529,"(0.652,0.713]","yhat1",4458.93803681376,4529,4458.93803681376
"(0.713,0.917]","y1",5056,"(0.713,0.917]","yhat1",4999.66278873713,5056,4999.66278873713
